Films,Year,Oscars,Nominations
"Crouching Tiger, Hidden Dragon",2001,4,10
Cruise Control,1993,0,1
Cry Freedom,1988,0,3
Culture,1999,0,1
Curfew,2013,1,1
Curse of the Golden Flower,2007,0,1
Curtain Call,2001,0,1
Cutie and the Boxer,2014,0,1
Cyrano de Bergerac,1991,2,6
Czechoslovakia 1968,1970,1,1
D-Day Remembered,1995,0,1
Dad,1990,0,1
Daddy Long Legs,1956,0,3
Dae,1980,0,1
Daens,1993,0,1
Daisy Miller,1975,0,1
Dallas Buyers Club,2014,3,6
Damage,1993,0,1
Damn Yankees,1959,0,1
Dance Lexie Dance,1998,0,1
Dancemaker,1999,0,1
Dancer in the Dark,2001,0,1
Dances With Wolves,1991,7,12
Dancing Pirate,1937,0,1
Danger under the Sea,1952,0,1
Dangerous,1936,1,1
Dangerous Liaisons,1989,3,7
Dangerous Moves,1985,1,1
Dark Eyes,1988,0,1
Dark Victory,1940,0,3
Darkest Hour,2018,2,6
Darling,1966,3,5
Darling Lili,1971,0,3
Darwin's Nightmare,2006,0,1
Das Boot,1983,0,6
Das Rad,2003,0,1
Daughter from Danang,2003,0,1
Daughter of the Bride,1998,0,1
Dave,1994,0,1
David Copperfield,1936,0,3
David and Bathsheba,1952,0,5
David and Lisa,1963,0,2
Dawn Flight,1976,0,1
Dawn of the Planet of the Apes,2015,0,1
Day & Night,2011,0,1
Day One,2016,0,1
Day for Night,1975,1,4
Day of the Painter,1961,1,1
Daybreak in Udi,1950,1,1
Daylight,1997,0,1
Days of Glory,1945,0,1
Days of Glory (Indigènes),2007,0,1
Days of Heaven,1979,1,4
Days of Thunder,1991,0,1
Days of Waiting,1991,1,1
Days of Wine and Roses,1963,1,5
"De Tripas, Corazon",1997,0,1
DeKalb Elementary,2018,0,1
Dead End,1938,0,4
Dead Man Walking,1996,1,4
Dead Poets Society,1990,1,4
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1992,1,1
Dear Basketball,2018,1,1
Dear Diary,1997,1,1
Dear Heart,1965,0,1
Dear John,1966,0,1
Dear Rosie,1991,0,1
Death Becomes Her,1993,1,1
Death in Venice,1972,0,1
Death of a Salesman,1952,0,5
Death of a Shadow (Dood van een Schaduw),2013,0,1
Death on the Job,1992,0,1
Death on the Nile,1979,1,1
Debonair Dancers,1987,0,1
December 7th,1944,1,1
Decision before Dawn,1952,0,2
Declaration of Independence,1939,1,1
Deconstructing Harry,1998,0,1
Dedalo,1977,0,1
Deep South,1938,0,1
Deep Waters,1949,0,1
Deepwater Horizon,2017,0,2
Defending Our Lives,1994,1,1
Defiance,2009,0,1
Deliver Us from Evil,2007,0,1
Deliverance,1973,0,3
Demián Bichir,2012,0,1
Departures,2009,1,1
Der Fuehrer's Face,1943,1,1
Dersu Uzala,1976,1,1
Desert Killer,1953,0,1
Desert Victory,1944,1,1
Desert Wonderland,1943,0,1
Design for Death,1948,1,1
Designing Woman,1958,1,1
Desire under the Elms,1959,0,1
Desiree,1955,0,2
Desperate Journey,1943,0,1
Despicable Me 2,2014,0,2
Destination Moon,1951,1,2
Destination Tokyo,1944,0,1
Destino,2004,0,1
Detainment,2019,0,1
Detective Story,1952,0,4
Detouring America,1940,0,1
Devil Take Us,1953,0,2
Diamonds Are Forever,1972,0,1
Diary of a Mad Housewife,1971,0,1
Dick Tracy,1991,3,7
Die Hard,1989,0,4
Die Rote Jacke (The Red Jacket),2004,0,1
Dillinger,1946,0,1
Dimanche/Sunday,2012,0,1
Diner,1983,0,1
Dirty Dancing,1988,1,1
Dirty Pretty Things,2004,0,1
Dirty Wars,2014,0,1
Disraeli,1931,1,3
District 9,2010,0,4
Dive Bomber,1942,0,1
Dive-Hi Champs,1947,0,1
Divided We Fall,2001,0,1
Divorce American Style,1968,0,1
Divorce--Italian Style,1963,1,3
Django Unchained,2013,2,5
Do the Right Thing,1990,0,2
Doctor De Soto,1985,0,1
Doctor Dolittle,1968,2,9
Doctor Strange,2017,0,1
Doctor Zhivago,1966,5,10
Dodes'ka-Den,1972,0,1
Dodsworth,1937,1,7
Dog Day Afternoon,1976,1,6
"Dog, Cat and Canary",1945,0,1
Dogtooth,2011,0,1
Doing Time: Life inside the Big House,1992,0,1
Dolphins,2001,0,1
Don Juan DeMarco,1996,0,1
Don't,1975,1,1
Don't Mess with Bill,1981,0,1
Don't Talk,1943,0,1
Don't Tell,2006,0,1
Donald in Mathmagic Land,1960,0,1
Donald's Crime,1946,0,1
Donnie Brasco,1998,0,1
Double Feature,1985,0,1
Double Indemnity,1945,0,7
Double or Nothing,1937,0,1
Doubletalk,1976,0,1
Doubt,2009,0,5
Down Argentine Way,1941,0,3
Down and Out in America,1987,0,1
Down on the Farm,1942,0,1
Down on the Waterfront,1994,0,1
Downfall,2005,0,1
Dr. Cyclops,1941,0,1
Dr. Ehrlich's Magic Bullet,1941,0,1
Dr. Jekyll and Mr. Hyde,['1933' '1942'],0,6
Dr. Jekyll and Mr. Mouse,1948,0,1
Dr. Seuss' How the Grinch Stole Christmas,2001,1,3
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1965,0,4
Drag,1930,0,1
Dragon Seed,1945,0,2
Dragonheart,1997,0,1
Dragonslayer,1982,0,2
Dream Doll,1980,0,1
Dream Wife,1954,0,1
Dreamgirls,2007,2,8
Drive,2012,0,1
Driving Miss Daisy,1990,4,9
Drums along the Mohawk,1940,0,1
Drunk Driving,1940,0,1
Duel in the Sun,1947,0,2
Duke of Groove,1996,0,1
Dumbo,1942,1,2
Dummy Ache,1937,0,1
Dune,1985,0,1
Dunkirk,2018,3,8
Duo,1969,0,1
Dust of Life,1996,0,1
Dylan Thomas,1963,1,1
Dynamite,1930,0,1
E.T. The Extra-Terrestrial,1983,4,9
Earl Carroll Vanities,1946,0,1
Earthquake,1975,1,4
East Lynne,1932,0,1
East of Eden,1956,1,4
East-West,2000,0,1
Easter Parade,1949,1,1
Eastern Promises,2008,0,1
Easy Rider,1970,0,2
Eat Drink Man Woman,1995,0,1
Ed Wood,1995,2,2
"Edison, the Man",1941,0,1
Edith+Eddie,2018,0,1
Educated Fish,1938,0,1
Educating Peter,1993,1,1
Educating Rita,1984,0,3
Edward Scissorhands,1991,0,1
"Edward, My Son",1950,0,1
Eight Minutes to Midnight: A Portrait of Dr. Helen Caldicott,1982,0,1
El Amor Brujo,1968,0,1
El Cid,1962,0,3
El Crimen del Padre Amaro,2003,0,1
El Norte,1985,0,1
El Salvador: Another Vietnam,1982,0,1
Election,2000,0,1
Election Night (Valgaften),1999,1,1
Electra,1963,0,1
Elizabeth,1999,1,7
Elizabeth: The Golden Age,2008,1,2
Elle,2017,0,1
Elling,2002,0,1
Elmer Gantry,1961,3,5
Embrace of the Serpent,2016,0,1
Emma,1997,1,3
Empire of the Sun,1988,0,6
Employees Only,1959,0,1
Enchanted,2008,0,3
Enchanted April,1993,0,3
Encounters at the End of the World,2009,0,1
End Game,2019,0,1
Endless Love,1982,0,1
"Enemies, A Love Story",1990,0,3
Ennemis Intérieurs,2017,0,1
Enron: The Smartest Guys in the Room,2006,0,1
Entre Nous,1984,0,1
Equus,1978,0,3
Eraser,1997,0,1
Erin Brockovich,2001,1,5
Ernest & Celestine,2014,0,1
Ernst & Lyset,1997,0,1
Ersatz (The Substitute),1962,1,1
Escape Me Never,1936,0,1
Eskimo,1935,1,1
Esposados,1997,0,1
Eternal Sunshine of the Spotless Mind,2005,1,2
Eternally Yours,1940,0,1
Europa Europa,1992,0,1
Every Child,1980,1,1
Every Day's a Holiday,1938,0,1
Everybody Famous!,2001,0,1
Everything Will Be Okay (Alles Wird Gut),2016,0,1
Everything in This Country Must,2005,0,1
Evil,2004,0,1
Evita,1997,1,5
Evolution,1972,0,1
Ex Machina,2016,1,2
Excalibur,1982,0,1
Executive Suite,1955,0,4
Exit,1987,0,1
Exit through the Gift Shop,2011,0,1
Exodus,1961,1,3
Experiment Perilous,1946,0,1
Exploratorium,1975,0,1
Extremely Loud & Incredibly Close,2012,0,2
Extremis,2017,0,1
Eyes of the Navy,1941,0,1
Eyes on the Prize: America's Civil Rights Years/Bridge to Freedom 1965,1988,0,1
Eyewitness,2000,0,1
Face to Face,1977,0,2
Face/Off,1998,0,1
Faces,1969,0,3
Faces Places,2018,0,1
Facing Fear,2014,0,1
Facing Your Danger,1947,1,1
Fait D'Hiver,2003,0,1
Fall Line,1981,0,1
Fame,1981,2,6
Family Gathering,1989,0,1
Famous Fred,1998,0,1
Fanny,1962,0,5
Fanny & Alexander,1984,4,6
Fantastic Beasts and Where to Find Them,2017,1,2
Fantastic Mr. Fox,2010,0,2
Fantastic Voyage,1967,2,5
Far from Heaven,2003,0,4
Far from the Madding Crowd,1968,0,1
Farewell My Concubine,1994,0,2
"Farewell, My Lovely",1976,0,1
Fargo,1997,2,7
Farinelli: Il Castrato,1995,0,1
Fat City,1973,0,1
Fatal Attraction,1988,0,6
Fate Is the Hunter,1965,0,1
Father Goose,1965,1,3
Father and Daughter,2001,1,1
Father of the Bride,1951,0,3
Fauve,2019,0,1
Fearless,1994,0,1
Feast,2015,1,1
Federico Fellini's 8-1/2,1964,2,5
Fellini Satyricon,1971,0,1
Fellini's Casanova,1977,1,2
Fences,2017,1,4
Feral,2014,0,1
Ferdinand,2018,0,1
Ferdinand the Bull,1939,1,1
Ferry Tales,2004,0,1
Festival,1968,0,1
Fiddlefest--Roberta Tzavaras and Her East Harlem Violin Program,1996,0,1
Fiddler on the Roof,1972,3,8
Field of Dreams,1990,0,3
Fiesta,1948,0,1
Fifty Percent Grey,2002,0,1
Fifty Shades of Grey,2016,0,1
Fight Club,2000,0,1
Fight of the Wild Stallions,1948,0,1
Fighting for Our Lives,1976,0,1
Finding Nemo,2004,1,4
Finding Neverland,2005,1,7
Finding Vivian Maier,2015,0,1
"Fine Food, Fine Pastries, Open 6 to 9",1990,0,1
Finian's Rainbow,1969,0,2
Fire at Sea,2017,0,1
Fires of Kuwait,1993,0,1
First Contact,1984,0,1
First Edition,1978,0,1
First Love,1940,0,3
First Man,2019,1,4
First Reformed,2019,0,1
First Steps,1948,1,1
First Winter,1982,0,1
Fish Fry,1945,0,1
Five Easy Pieces,1971,0,4
Five Fingers,1953,0,2
Five Graves to Cairo,1944,0,3
Five Star Final,1933,0,1
Five Times Five,1940,0,1
Flags of Our Fathers,2007,0,2
Flame of Barbary Coast,1946,0,2
Flamenco at 5:15,1984,1,1
Flashdance,1984,1,4
Flat Top,1953,0,1
Flatliners,1991,0,1
Flight,2013,0,2
Flight Command,1942,0,1
Flight for Freedom,1944,0,1
Flirtation Walk,1935,0,2
Floating Free,1978,0,1
Florence Foster Jenkins,2017,0,2
Flower Drum Song,1962,0,5
Flowers and Trees,1933,1,1
Fly Away Home,1997,0,1
Flying Down to Rio,1935,0,1
Flying Tigers,1943,0,3
Flying with Music,1943,0,2
Folies Bergere,1936,0,1
Follow the Boys,1945,0,1
"Food, Inc.",2010,0,1
Foothold on Antarctica,1958,0,1
Footloose,1985,0,2
Footnote,2012,0,1
For All Mankind,1990,0,1
For Better or for Worse,1994,0,1
For Love of Ivy,1969,0,1
For Me and My Gal,1943,0,1
For Scent-Imental Reasons,1950,1,1
For Whom the Bell Tolls,1944,1,9
For Your Eyes Only,1982,0,1
For the Birds,2002,1,1
For the Boys,1992,0,1
Forbidden Games,1955,0,1
Forbidden Passage,1942,0,1
Forbidden Planet,1957,0,1
Foreign Correspondent,1941,0,6
Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade,1991,0,1
Forever Amber,1948,0,1
Forrest Gump,1995,6,13
Fortress of Peace,1966,0,1
Forty Boys and a Song,1942,0,1
Foul Play,1979,0,1
Four Daughters,1939,0,5
Four Days in November,1965,0,1
Four Days in September,1998,0,1
Four Devils,1930,0,1
Four Stones for Kanemitsu,1974,0,1
Four Weddings and a Funeral,1995,0,2
Fourteen Hours,1952,0,1
Foxcatcher,2015,0,5
Frances,1983,0,2
Frances Steloff: Memoirs of a Bookseller,1988,0,1
Frank Film,1974,1,1
Frankenweenie,2013,0,1
Franz Kafka's It's a Wonderful Life,1995,1,1
Free Solo,2019,1,1
Freedom on My Mind,1995,0,1
Freeheld,2008,1,1
French Roast,2010,0,1
Frenchman's Creek,1946,1,1
Fresh Guacamole,2013,0,1
Freud,1963,0,2
Frida,2003,2,6
Fried Green Tomatoes,1992,0,2
Friendly Enemies,1943,0,1
Friendly Persuasion,1957,0,6
Frog Story,1973,0,1
From A to Z-Z-Z-Z,1954,0,1
From Generation to Generation,1960,0,1
From Here to Eternity,1954,8,13
From Mao to Mozart: Isaac Stern in China,1981,1,1
Front Line,1981,0,1
Frost/Nixon,2009,0,5
Frozen,2014,2,2
Frozen River,2009,0,2
Full Metal Jacket,1988,0,1
Funny Face,1958,0,4
Funny Girl,1969,0,8
Funny Lady,1976,0,5
Fury,1937,0,1
G-Men,1936,0,1
G. I. Honeymoon,1946,0,1
G. I. Joe,1946,0,4
Gaby - A True Story,1988,0,1
Gadgets Galore,1956,0,1
Gagarin,1996,0,1
"Gaily, Gaily",1970,0,3
Gambit,1967,0,3
Gandhi,1983,8,11
Gang Cops,1989,0,1
Gangs of New York,2003,0,10
Garden Party,2018,0,1
Gasland,2011,0,1
Gaslight,1945,2,7
Gate of Hell,1955,1,1
Gates of Paris,1958,0,1
Gattaca,1998,0,1
General Della Rovere,1962,0,1
General Spanky,1937,0,1
Generation on the Wind,1980,0,1
Genevieve,1955,0,2
Genghis Blues,2000,0,1
Genocide,1982,1,1
Gentleman's Agreement,1948,3,8
George Grosz' Interregnum,1961,0,1
George Washington Slept Here,1943,0,1
George and Rosemary,1988,0,1
Georgia,1996,0,1
Georgy Girl,1967,0,4
Gerald McBoing-Boing,1951,1,1
Gerald McBoing-Boing on Planet Moo,1957,0,1
Geri's Game,1998,1,1
Geronimo: An American Legend,1994,0,1
Gervaise,1957,0,1
Get Out,2018,1,4
Get Out Your Handkerchiefs,1979,1,1
Get a Horse!,2014,0,1
Ghost,1991,2,5
Ghost World,2002,0,1
Ghostbusters,1985,0,2
Ghosts of Mississippi,1997,0,2
Giant,1957,1,10
Gigi,1959,9,9
Gigot,1963,0,1
Girl with a Pearl Earring,2004,0,3
"Girl, Interrupted",2000,1,1
Girls' School,1939,0,1
Giuseppina,1961,1,1
"Give 'em Hell, Harry!",1976,0,1
Give Me Liberty,1937,1,1
Give Up Yer Aul Sins,2002,0,1
Give Us the Earth,1948,0,1
Gladiator,2001,5,12
Glass,1960,1,1
Glen Campbell…I’ll Be Me,2015,0,1
Glengarry Glen Ross,1993,0,1
Gloria,1981,0,1
Glorious Betsy,1929,0,1
Glory,1990,3,5
Go for Broke!,1952,0,1
Go into Your Dance,1936,0,1
God Is the Bigger Elvis,2012,0,1
God Sleeps in Rwanda,2006,0,1
God of Love,2011,1,1
Gods and Monsters,1999,1,3
Gods of Metal,1983,0,1
Going My Way,1945,7,10
Going Places,1939,0,1
Going the Distance,1980,0,1
Going to Blazes,1949,0,1
Gold,1975,0,1
Gold Diggers of 1933,1934,0,1
Gold Diggers of 1935,1936,1,3
Gold Diggers of 1937,1937,0,1
Golden Boy,1940,0,1
Golden Girl,1952,0,1
Golden Horses,1947,0,1
Goldfinger,1965,1,1
Goliath II,1961,0,1
Gone Baby Gone,2008,0,1
Gone Girl,2015,0,1
Gone Nutty,2004,0,1
Gone with the Wind,1940,8,13
Good Fellas,1991,1,6
Good Morning,1972,0,1
"Good Morning, Vietnam",1988,0,1
Good News,1948,0,1
"Good Night, and Good Luck.",2006,0,6
Good Scouts,1939,0,1
Good Will Hunting,1998,2,9
Good Will to Men,1956,0,1
Good-bye Miss Turlock,1948,1,1
"Goodbye, Columbus",1970,0,1
"Goodbye, Mr. Chips",1940,1,9
Goodie-Two-Shoes,1984,0,1
Goodnight Miss Ann,1979,0,1
Gopher Broke,2005,0,1
Gorillas in the Mist,1989,0,5
Gosford Park,2002,1,7
Graffiti,1986,0,1
Grand Canyon,['1959' '1992'],1,2
Grand Hotel,1933,1,1
Grand Illusion,1939,0,1
Grand Prix,1967,3,3
Grandad of Races,1951,1,1
Grandma Moses,1951,0,1
Granny O'Grimm's Sleeping Beauty,2010,0,1
Grasshoppers (Cavallette),1991,0,1
Gravity,2014,7,10
Gravity Is My Enemy,1978,1,1
Grease,1979,0,1
Great,1976,1,1
Great Expectations,1948,2,5
Green Book,2019,3,5
Green Card,1991,0,1
Green Dolphin Street,1948,1,4
Green Grass of Wyoming,1949,0,1
Greetings Bait!,1944,0,1
"Greg Cannom, Michèle Burke, Matthew W. Mung",1993,1,1
Gregor's Greatest Invention,2002,0,1
"Greystoke: The Legend of Tarzan, Lord of the Apes",1985,0,3
Guard Dog,2005,0,1
Guardians of the Galaxy,2015,0,2
Guardians of the Galaxy Vol. 2,2018,0,1
Guess Who's Coming to Dinner,1968,2,10
Guest Wife,1946,0,1
Guest in the House,1946,0,1
Gullah Tales,1989,0,1
Gulliver's Travels,1940,0,2
Gunfight at the O.K. Corral,1958,0,2
Guys and Dolls,1956,0,4
Gypsy,1963,0,3
Hacksaw Ridge,2017,2,6
Hail the Conquering Hero,1945,0,1
"Hail, Caesar!",2017,0,1
"Hale County This Morning, This Evening",2019,0,1
Half Nelson,2007,0,1
Half a House,1977,0,1
Hallelujah,1931,0,1
Hamlet,1949,4,13
Hangmen Also Die,1944,0,2
Hank Aaron: Chasing the Dream,1996,0,1
Hannah and Her Sisters,1987,3,7
Hans Christian Andersen,1953,0,6
Hanussen,1989,0,1
Happy Feet,2007,1,1
Happy New Year,1988,0,1
Happy-Go-Lucky,2009,0,1
Hardwood,2005,0,1
"Harlan County, U.S.A.",1977,1,1
Harlem Nights,1990,0,1
Harp of Burma,1957,0,1
Harry Potter and the Deathly Hallows Part 1,2011,0,2
Harry Potter and the Deathly Hallows Part 2,2012,0,3
Harry Potter and the Goblet of Fire,2006,0,1
Harry Potter and the Half-Blood Prince,2010,0,1
Harry Potter and the Prisoner of Azkaban,2005,0,2
Harry Potter and the Sorcerer's Stone,2002,0,3
Harry and Tonto,1975,1,2
Harry and the Butler,1962,0,1
Harry and the Hendersons,1988,1,1
Harvest,1968,0,1
Harvey,1951,1,2
Harvie Krumpet,2004,1,1
Hatari!,1963,0,1
Hatch Up Your Troubles,1950,0,1
Havana,1991,0,1
Hawaii,1967,0,7
He Makes Me Feel Like Dancin',1984,1,1
Head over Heels,2013,0,1
Heart Like a Wheel,1984,0,1
Heart to Heart,1949,0,1
Heartbeeps,1982,0,1
Heartbreak Ridge,['1956' '1987'],0,2
Hearts and Minds,1975,1,1
Heaven Can Wait,1979,1,12
Heaven Is a Traffic Jam on the 405,2018,1,1
"Heaven Knows, Mr. Allison",1958,0,2
Heaven's Gate,1982,0,1
Heavenly Creatures,1995,0,1
Heavenly Music,1944,1,1
Hedd Wyn,1994,0,1
Hedda,1976,0,1
Helen Keller in Her Story,1956,1,1
Helicopter Canada,1967,0,1
Helium,2014,1,1
Hell and Back Again,2012,0,1
Hell and High Water,1955,0,1
Hell or High Water,2017,0,4
Hell's Angels,1931,0,1
Hellboy II: The Golden Army,2009,0,1
Hellfire: A Journey from Hiroshima,1988,0,1
"Hello, Dolly!",1970,3,7
"Hello, Frisco, Hello",1944,1,2
Hellzapoppin',1943,0,1
Helmer & Son,2007,0,1
Help! My Snowman's Burning Down,1965,0,1
Henry,2013,0,1
Henry & June,1991,0,1
"Henry Browne, Farmer",1943,0,1
Henry V,1947,1,7
Her,2014,1,5
Herb Alpert and the Tijuana Brass Double Feature,1967,1,1
Hercules,1998,0,1
Here Come the Waves,1946,0,1
Here Comes Mr. Jordan,1942,2,7
Here Comes the Groom,1952,1,2
Here Comes the Navy,1935,0,1
Hereafter,2011,0,1
Hero,2003,0,1
Heroin(e),2018,0,1
Herring Hunt,1954,0,1
Hers to Hold,1944,0,1
Hester Street,1976,0,1
Heureux Anniversaire (Happy Anniversary),1963,1,1
Hi Diddle Diddle,1944,0,1
Hiawatha's Rabbit Hunt,1942,0,1
Hidden Figures,2017,0,3
Hide-Out,1935,0,1
High Grass Circus,1978,0,1
High Noon,1953,4,7
High Note,1961,0,1
High Schools,1985,0,1
High Society,1957,0,2
High Stakes in the East,1943,0,1
High Time,1961,0,1
High over the Borders,1943,0,1
Higher and Higher,1945,0,2
Hilary and Jackie,1999,0,2
"Hiroshima, Mon Amour",1961,0,1
His Butler's Sister,1945,0,1
Hiss and Yell,1947,0,1
History of the World in Three Minutes Flat,1981,0,1
Hit Parade of 1941,1941,0,2
Hit Parade of 1943,1944,0,2
Hitchcock,2013,0,1
Hitchhike to Happiness,1946,0,1
Hitler Lives?,1946,1,1
Hitting a New High,1938,0,1
Hoa-Binh,1971,0,1
Hoffa,1993,0,2
Hold Back the Dawn,1942,0,6
Holiday,1932,0,3
Holiday Inn,1943,1,3
Holiday Land,1935,0,1
Holiday Romance,1999,0,1
Hollow Man,2001,0,1
Hollywood Canteen,1945,0,3
Hollywood Revue,1930,0,1
Hollywood in Uniform,1944,0,1
Hollywood on Trial,1977,0,1
Holy Matrimony,1944,0,1
Homage to Chagall--The Colours of Love,1978,0,1
Home Alone,1991,0,2
Home in Indiana,1945,0,1
Home-Made Car,1964,0,1
Hondo,1954,0,1
Honeysuckle Rose,1981,0,1
Hook,1992,0,5
Hoop Dreams,1995,0,1
Hooper,1979,0,1
Hoosiers,1987,0,2
Hope and Glory,1988,0,5
Hot Millions,1969,0,1
Hotel Rwanda,2005,0,3
Hotel Terminus: The Life and Times of Klaus Barbie,1989,1,1
House of Flying Daggers,2005,0,1
House of Sand and Fog,2004,0,3
House on Telegraph Hill,1952,0,1
Houseboat,1959,0,2
How Far I'll Go,2017,0,1
How Green Was My Valley,1942,5,10
How War Came,1942,0,1
How the West Was Won,1964,3,8
How to Avoid Friendship,1965,0,1
How to Marry a Millionaire,1954,0,1
How to Play Football,1945,0,1
How to Sleep,1936,1,1
How to Survive a Plague,2013,0,1
How to Train Your Dragon,2011,0,2
How to Train Your Dragon 2,2015,0,1
Howards End,1993,3,9
Howl's Moving Castle,2006,0,1
Hud,1964,3,7
Hugo,2012,5,11
Humdrum,2000,0,1
Humoresque,1947,0,1
Hundertwasser's Rainy Day,1973,0,1
Hungarians,1979,0,1
Hunger,1975,0,1
Hunky and Spunky,1939,0,1
Husbands and Wives,1993,0,2
"Hush...Hush, Sweet Charlotte",1965,0,7
Hustle & Flow,2006,1,2
Hypothese Beta,1968,0,1
I Am Love,2011,0,1
I Am Not Your Negro,2017,0,1
I Am Sam,2002,0,1
I Am a Fugitive from a Chain Gang,1934,0,3
I Am a Promise: The Children of Stanton Elementary School,1994,1,1
I Dream Too Much,1936,0,1
I Even Met Happy Gypsies,1968,0,1
I Love You Rosa,1973,0,1
I Married a Witch,1943,0,1
I Met the Walrus,2008,0,1
I Never Forget a Face,1957,0,1
I Never Promised You a Rose Garden,1978,0,1
I Never Sang for My Father,1971,0,3
I Remember Mama,1949,0,5
I Want You,1952,0,1
I Want to Live!,1959,1,6
I Wanted Wings,1942,1,1
I Was a Communist for the F.B.I.,1952,0,1
I Won't Play,1945,1,1
I'll Cry Tomorrow,1956,1,4
I'll Fight,2019,0,1
I'll Find a Way,1978,1,1
I'll Get By,1951,0,1
I'll Wait for the Next One... (J'Attendrai Le Suivant...),2003,0,1
I'm Not There,2008,0,1
"I, Robot",2005,0,1
"I, Tonya",2018,1,3
Icarus,2018,1,1
Icarus Montgolfier Wright,1963,0,1
Ice Age,2003,0,1
Ice Castles,1980,0,1
Ice Station Zebra,1969,0,2
Ice-Capades,1942,0,1
Ida,2015,1,2
If Beale Street Could Talk,2019,1,3
If I Were King,1939,0,4
If You Love This Planet,1983,1,1
If a Tree Falls: A Story of the Earth Liberation Front,2012,0,1
Il Divo,2010,0,1
Il Supplente (The Substitute),2008,0,1
Imagination,1944,0,1
Imitation of Life,1935,0,5
Immortal Love,1962,0,1
In & Out,1998,0,1
In America,2004,0,3
In Beaver Valley,1951,1,1
In Bruges,2009,0,1
In Cold Blood,1968,0,4
In Darkness,2012,0,1
In Harm's Way,1966,0,1
In Old Arizona,1930,1,5
In Old Chicago,1938,2,6
In Old Oklahoma,1944,0,2
In Our Water,1983,0,1
In Which We Serve,1944,0,2
In a Better World,2011,1,1
In the Bedroom,2002,0,5
In the Heat of the Night,1968,5,7
In the Line of Fire,1994,0,3
In the Loop,2010,0,1
In the Name of the Father,1994,0,7
In the Name of the People,1985,0,1
In the Nuclear Shadow: What Can the Children Tell Us?,1984,0,1
In the Region of Ice,1977,1,1
In the Shadow of the Stars,1992,1,1
In the Valley of Elah,2008,0,1
In the Wee Wee Hours...,1988,0,1
In the Year of the Pig,1970,0,1
Incendiary Blonde,1946,0,1
Incendies,2011,0,1
Inception,2011,4,8
Incident in New Baghdad,2012,0,1
Incredibles 2,2019,0,1
Independence Day,1997,1,2
Indiana Jones and the Last Crusade,1990,1,3
Indiana Jones and the Temple of Doom,1985,1,2
Indiscretion of an American Wife,1955,0,1
Indochine,1993,1,2
Information Please,1940,0,1
Inglourious Basterds,2010,1,8
Inherent Vice,2015,0,2
Inherit the Wind,1961,0,4
Inja (Dog),2003,0,1
Innerspace,1988,1,1
Inocente,2013,1,1
Inside Daisy Clover,1966,0,3
Inside Fighting China,1943,0,1
Inside Job,2011,1,1
Inside Llewyn Davis,2014,0,2
Inside Moves,1981,0,1
Inside Out,2016,1,2
Instead of Abracadabra,2010,0,1
Interiors,1979,0,5
Intermezzo,1940,0,1
Interrupted Melody,1956,1,3
Interstellar,2015,1,5
Interview with the Vampire,1995,0,2
Interviews with My Lai Veterans,1971,1,1
Into the Arms of Strangers: Stories of the Kindertransport,2001,1,1
Into the Wild,2008,0,2
Into the Woods,2015,0,3
Investigation of a Citizen above Suspicion,['1971' '1972'],1,2
Invictus,2010,0,2
Invisible Agent,1943,0,1
Iphigenia,1978,0,1
Iraq in Fragments,2007,0,1
Irene,1941,0,1
Iris,2002,1,3
Irish Eyes Are Smiling,1945,0,1
Irma La Douce,1964,1,3
Iron Man,2009,0,2
Iron Man 2,2011,0,1
Iron Man 3,2014,0,1
Ironweed,1988,0,2
Is It Always Right to Be Right?,1971,1,1
Is Paris Burning?,1967,0,2
Isaac in America: A Journey with Isaac Bashevis Singer,1987,0,1
Isadora,1969,0,1
Islands in the Stream,1978,0,1
Islands of the Sea,1961,0,1
Isle of Dogs,2019,0,2
It Happened One Night,1935,5,5
It Happened Tomorrow,1945,0,2
It Happened on Fifth Avenue,1948,0,1
It Happens Every Spring,1950,0,1
It Should Happen to You,1955,0,1
It Started in Naples,1961,0,1
It Started with Eve,1943,0,1
It's Always Fair Weather,1956,0,2
It's Everybody's War,1943,0,1
It's Good to Talk,1998,0,1
It's Got Me Again,1933,0,1
It's So Nice to Have a Wolf around the House,1980,0,1
It's Tough to Be a Bird,1970,1,1
It's a Great Feeling,1950,0,1
"It's a Mad, Mad, Mad, Mad World",1964,1,6
It's a Wonderful Life,1947,0,5
It's the Same World,1981,0,1
Ivanhoe,1953,0,3
JFK,1992,2,8
Jack Johnson,1971,0,1
Jack London,1945,0,1
Jackass Presents: Bad Grandpa,2014,0,1
Jackie,2017,0,3
Jackie Brown,1998,0,1
"Jacob, the Liar",1977,0,1
Jacqueline Susann's Once Is Not Enough,1976,0,1
Jacques-Yves Cousteau's World without Sun,1965,1,1
Jagged Edge,1986,0,1
James and the Giant Peach,1997,0,1
Jammin' the Blues,1945,0,1
Jane Eyre,2012,0,1
Janie,1945,0,1
Jasper and the Beanstalk,1946,0,1
Jaws,1976,3,4
Jenny Is a Good Thing,1970,0,1
Jerry Maguire,1997,1,5
Jerry's Cousin,1951,0,1
Jesus Camp,2007,0,1
Jesus Christ Superstar,1974,0,1
Jesus of Montreal,1990,0,1
